pl_hostname,pl_letter,con
Kepler-345,c,CYG
Kepler-347,b,CYG
Kepler-347,c,CYG
Kepler-348,b,CYG
Kepler-348,c,CYG
Kepler-349,b,CYG
Kepler-349,c,CYG
Kepler-35,b,CYG
Kepler-352,b,CYG
Kepler-352,c,CYG
Kepler-353,b,CYG
Kepler-353,c,CYG
Kepler-356,b,CYG
Kepler-356,c,CYG
Kepler-357,b,CYG
Kepler-357,c,CYG
Kepler-357,d,CYG
Kepler-358,b,CYG
Kepler-358,c,CYG
Kepler-359,b,CYG
Kepler-359,c,CYG
Kepler-359,d,CYG
Kepler-36,b,CYG
Kepler-36,c,CYG
Kepler-361,b,CYG
Kepler-361,c,CYG
Kepler-362,b,CYG
Kepler-362,c,CYG
Kepler-365,b,CYG
Kepler-365,c,CYG
Kepler-366,b,CYG
Kepler-366,c,CYG
Kepler-367,b,CYG
Kepler-367,c,CYG
Kepler-368,b,CYG
Kepler-368,c,CYG
Kepler-369,b,CYG
Kepler-369,c,CYG
Kepler-370,b,CYG
Kepler-370,c,CYG
Kepler-371,b,CYG
Kepler-371,c,CYG
Kepler-372,b,CYG
Kepler-372,c,CYG
Kepler-372,d,CYG
Kepler-373,b,CYG
Kepler-373,c,CYG
Kepler-374,b,CYG
Kepler-374,c,CYG
Kepler-374,d,CYG
Kepler-375,b,CYG
Kepler-375,c,CYG
Kepler-377,b,CYG
Kepler-377,c,CYG
Kepler-378,b,CYG
Kepler-378,c,CYG
Kepler-379,b,CYG
Kepler-379,c,CYG
Kepler-382,b,CYG
Kepler-382,c,CYG
Kepler-385,b,CYG
Kepler-385,c,CYG
Kepler-386,b,CYG
Kepler-386,c,CYG
Kepler-389,b,CYG
Kepler-389,c,CYG
Kepler-39,b,CYG
Kepler-391,b,CYG
Kepler-391,c,CYG
Kepler-393,b,CYG
Kepler-393,c,CYG
Kepler-394,b,CYG
Kepler-394,c,CYG
Kepler-395,b,CYG
Kepler-395,c,CYG
Kepler-396,b,CYG
Kepler-396,c,CYG
Kepler-397,b,CYG
Kepler-397,c,CYG
Kepler-399,b,CYG
Kepler-399,c,CYG
Kepler-399,d,CYG
Kepler-40,b,CYG
Kepler-401,b,CYG
Kepler-401,c,CYG
Kepler-401,d,CYG
Kepler-403,b,CYG
Kepler-403,c,CYG
Kepler-403,d,CYG
Kepler-406,b,CYG
Kepler-406,c,CYG
Kepler-409,b,CYG
Kepler-41,b,CYG
Kepler-411,b,CYG
Kepler-411,c,CYG
Kepler-413,b,CYG
Kepler-414,b,CYG
Kepler-414,c,CYG
Kepler-415,b,CYG
Kepler-415,c,CYG
Kepler-417,b,CYG
Kepler-417,c,CYG
Kepler-418,b,CYG
Kepler-419,b,CYG
Kepler-419,c,CYG
Kepler-42,b,CYG
Kepler-42,c,CYG
Kepler-42,d,CYG
Kepler-423,b,CYG
Kepler-424,b,CYG
Kepler-424,c,CYG
Kepler-426,b,CYG
Kepler-430,b,CYG
Kepler-430,c,CYG
Kepler-432,b,CYG
Kepler-432,c,CYG
Kepler-433,b,CYG
Kepler-434,b,CYG
Kepler-435,b,CYG
Kepler-436,b,CYG
Kepler-436,c,CYG
Kepler-437,b,CYG
Kepler-44,b,CYG
Kepler-443,b,CYG
Kepler-445,b,CYG
Kepler-445,c,CYG
Kepler-445,d,CYG
Kepler-449,b,CYG
Kepler-449,c,CYG
Kepler-45,b,CYG
Kepler-450,b,CYG
Kepler-450,c,CYG
Kepler-450,d,CYG
Kepler-452,b,CYG
KIC 9663113,c,CYG
Kepler-461,b,CYG
Kepler-462,b,CYG
Kepler-463,b,CYG
Kepler-464,b,CYG
Kepler-466,b,CYG
Kepler-466,c,CYG
Kepler-468,b,CYG
Kepler-47,b,CYG
Kepler-47,c,CYG
Kepler-470,b,CYG
Kepler-471,b,CYG
Kepler-472,b,CYG
Kepler-474,b,CYG
Kepler-476,b,CYG
Kepler-478,b,CYG
Kepler-48,b,CYG
Kepler-48,c,CYG
Kepler-48,d,CYG
Kepler-48,e,CYG
Kepler-480,b,CYG
Kepler-481,b,CYG
Kepler-482,b,CYG
Kepler-485,b,CYG
Kepler-487,b,CYG
Kepler-487,c,CYG
Kepler-49,b,CYG
Kepler-49,c,CYG
Kepler-49,d,CYG
Kepler-49,e,CYG
Kepler-490,b,CYG
Kepler-492,b,CYG
Kepler-493,b,CYG
Kepler-494,b,CYG
Kepler-498,b,CYG
Kepler-499,b,CYG
Kepler-5,b,CYG
Kepler-50,b,CYG
Kepler-50,c,CYG
Kepler-500,b,CYG
Kepler-501,b,CYG
Kepler-502,b,CYG
Kepler-507,b,CYG
Kepler-508,b,CYG
Kepler-509,b,CYG
Kepler-51,b,CYG
Kepler-51,c,CYG
Kepler-51,d,CYG
Kepler-512,b,CYG
Kepler-515,b,CYG
Kepler-516,b,CYG
Kepler-517,b,CYG
Kepler-519,b,CYG
Kepler-520,b,CYG
Kepler-520,c,CYG
Kepler-521,b,CYG
Kepler-524,b,CYG
Kepler-524,c,CYG
Kepler-525,b,CYG
Kepler-526,b,CYG
Kepler-527,b,CYG
Kepler-528,b,CYG
Kepler-532,b,CYG
Kepler-533,b,CYG
Kepler-534,b,CYG
Kepler-535,b,CYG
Kepler-536,b,CYG
Kepler-537,b,CYG
Kepler-538,b,CYG
Kepler-539,b,CYG
Kepler-539,c,CYG
Kepler-54,b,CYG
Kepler-54,c,CYG
Kepler-54,d,CYG
Kepler-540,b,CYG
Kepler-541,b,CYG
Kepler-542,b,CYG
Kepler-544,b,CYG
Kepler-548,b,CYG
Kepler-550,b,CYG
Kepler-552,b,CYG
Kepler-553,b,CYG
Kepler-553,c,CYG
Kepler-554,b,CYG
Kepler-557,b,CYG
Kepler-559,b,CYG
Kepler-56,b,CYG
Kepler-56,c,CYG
Kepler-56,d,CYG
Kepler-560,b,CYG
Kepler-561,b,CYG
Kepler-561,c,CYG
Kepler-562,b,CYG
Kepler-563,b,CYG
Kepler-564,b,CYG
Kepler-566,b,CYG
Kepler-567,b,CYG
Kepler-568,b,CYG
Kepler-57,b,CYG
Kepler-57,c,CYG
Kepler-570,b,CYG
Kepler-572,b,CYG
Kepler-573,b,CYG
Kepler-574,b,CYG
